data;														
														
param	nb_n	:=	6;											
param	nb_d	:=	4;											
														
set	A	:=	(1,2)	(1,4)	(1,3)	
(1,5)	(2,3)	(2,4)	(3,5)	(3,6)	
(4,5)	(4,6)	(5,6)	(5,2);
														
param	:	s	t	d	:=									
1	1	6	8											
2	1	4	4											
3	5	6	7											
4	1	5	5;	

param lambda := 3;
param u:= 10;
param Delta_Max:=15;
											
														
param:	f  delta:=												
1	2	10		3											
1	3	6		6										
1	4	22		1											
1	5	18		2										
2	3	4		7										
2	4	4		7										
3	5	6		6										
3	6	24		1										
4	5	5		6										
4	6	6		6										
5	6	10		3										
5	2	4		7;											
														
