data;			

										
														
param	nb_n	:=	16;			
		
set	A	:=			
(	1	,	2	)	
(	1	,	6	)	
(	1	,	9	)	
(	6	,	1	)	
(	9	,	1	)	
(	2	,	5	)	
(	2	,	6	)	
(	2	,	12	)	
(	3	,	6	)	
(	3	,	9	)	
(	4	,	7	)	
(	4	,	10	)	
(	4	,	11	)	
(	5	,	7	)	
(	5	,	8	)	
(	6	,	7	)	
(	8	,	10	)	
(	9	,	12	)	
(	10	,	11	)	
(	2	,	1	)	
(	5	,	2	)	
(	6	,	2	)	
(	12	,	2	)	
(	6	,	3	)	
(	9	,	3	)	
(	7	,	4	)	
(	10	,	4	)	
(	11	,	4	)	
(	7	,	5	)	
(	8	,	5	)	
(	7	,	6	)	
(	10	,	8	)	
(	12	,	9	)	
(	11	,	10	)	
;					
param	:	f	delta:=
1	2	13  18
2	5	108	6
2	6	59	12
2	12	90	8
3	6	26	15
3	9	115	6
4	7	75	10
4	10	152	4
4	11	157	4
5	7	103	6
5	8	220	3
6	7	90	8
8	10	51	13
9	12	34	15
10	11	114	5
2	1	13	15
5	2	108	5
6	2	59	12
12	2	90	7
6	3	26	21
9	3	115	5
7	4	75	8
10	4	152	4
11	 4	157	4
7	5	103	5
8	5	220	3
7	6	90	8
10	8	51	12
12	9	34	20
11	 10	114	5
1 6 10 1
1 9 10 1
6 1 10 1
9 1 10 1
;			
					
param u:=50;					
param lambda := 10;		
param Delta_Max:= 85;		
					
					
param 	nb_d:=24;			
param	:		s	t	d:=
1	6	11	4		
2	1	3	3		
3	5	11	2		
4	7	8	3		
5	8	9	12		
6	5	8	17		
7	3	6	28		
8	8	11	10		
9	8	10	23		
10	1	4	2		
11	1	5	1		
12	1	7	1		
13	3	4	32		
14	7	9	4		
15	5	6	4		
16	4	6	8		
17	9	12	41		
18	7	12	5		
19	9	10	6		
20	4	12	17		
21	7	11	2		
22	4	7	5		
23	6	9	19		
24	1	6	1		
;		


			
