param I := 200;
param J := 50;	
param t := 	
1	27
2	3
3	14
4	14
5	3
6	15
7	21
8	9
9	3
10	12
11	3
12	6
13	3
14	3
15	3
16	35
17	4
18	7
19	42
20	38
21	3
22	3
23	4
24	17
25	3
26	3
27	118
28	3
29	3
30	8
31	10
32	3
33	31
34	25
35	41
36	3
37	20
38	6
39	31
40	4
41	19
42	106
43	11
44	15
45	10
46	9
47	3
48	16
49	15
50	3
51	3
52	3
53	3
54	3
55	6
56	6
57	4
58	27
59	37
60	9
61	5
62	14
63	18
64	6
65	26
66	39
67	31
68	10
69	8
70	25
71	20
72	20
73	8
74	9
75	13
76	4
77	3
78	12
79	16
80	11
81	17
82	8
83	10
84	15
85	3
86	3
87	8
88	3
89	11
90	3
91	10
92	33
93	25
94	7
95	3
96	6
97	5
98	11
99	4
100	17
101	73
102	11
103	5
104	4
105	10
106	18
107	31
108	6
109	10
110	12
111	11
112	17
113	4
114	5
115	3
116	3
117	14
118	4
119	9
120	4
121	8
122	5
123	6
124	4
125	21
126	3
127	33
128	9
129	69
130	8
131	36
132	16
133	14
134	19
135	19
136	8
137	29
138	3
139	26
140	21
141	16
142	27
143	10
144	3
145	7
146	20
147	99
148	12
149	20
150	36
151	266
152	12
153	9
154	23
155	10
156	41
157	90
158	34
159	584
160	113
161	109
162	13
163	32
164	3
165	37
166	30
167	18
168	3
169	8
170	35
171	16
172	18
173	3
174	37
175	17
176	12
177	13
178	6
179	8
180	11
181	3
182	3
183	22
184	3
185	12
186	3
187	30
188	4
189	31
190	11
191	6
192	17
193	7
194	5
195	5
196	17
197	4
198	5
199	12
200	7
;	
param c := 	
1	6790
2	9986
3	7337
4	11021
5	10276
6	8677
7	10614
8	9147
9	7150
10	9098
11	8475
12	8500
13	9018
14	11010
15	8452
16	10336
17	7078
18	8481
19	8563
20	6817
21	6954
22	7558
23	10490
24	8148
25	9605
26	7486
27	6918
28	7862
29	10255
30	7672
31	7843
32	10955
33	11082
34	11129
35	11539
36	10759
37	10322
38	11178
39	9387
40	10876
41	6686
42	7399
43	9811
44	9639
45	8810
46	10959
47	10326
48	7355
49	10668
50	10270
;
	
param d: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50  := 	
1	1951.35 5297.9 6656.21 850.657 5875.52 2858.48 4735.6 12760.5 5901.53 5236.56 9484.03 4324.27 266.937 927.099 948.424 755.163 932.823 4959.99 6091.85 13214.1 6397.8 2683.75 3420.41 4940.13 17252.7 867.469 2621.49 2495 1089.69 4771.06 6599.83 17308.5 13716.8 7550.93 16326.6 7380.19 11504.6 5492.03 908.26 550.994 5283.9 34314.7 1019.1 3634.87 2612.26 1529.7 2424.11 1916.98 13501.5 623.402 
2	816.792 1102.27 1771.29 28.76 901.715 1019.96 115.64 868.6 761.536 732.093 675.785 329.436 266.742 851.916 948.229 754.964 932.649 724.757 1875.32 402.929 1080.97 850.202 1072.87 854.075 782.251 842.829 844.08 687.71 1089.5 870.51 517.373 637.572 828.917 937.69 585.392 898.679 1052.27 1074.15 908.075 1678 1182.16 955.921 807.332 818.835 922.566 857.261 971.001 1061.86 714.615 623.217 
3	1375.24 2492.95 3650.93 5014.85 3095.61 1497.28 7183.06 6558.55 3286.72 3118.66 4706.29 1773.72 369.777 947.4 909.251 828.838 1123.65 3111.67 3777.01 9737.55 3373.46 1955.78 2063.67 2979.45 8793.53 971.409 1405.48 1589 1014.01 2409.8 4572.72 9263.14 7693.58 3995.23 11115.1 4121.81 5575.12 2979.68 1065.81 610.11 2420.37 17625.6 931.017 1984.82 1658.15 1073.32 1546.33 1402.2 8166.72 796.87 
4	1183.97 3178.98 4517.08 0 4345.38 2348.6 2457.01 8861.99 3719.49 3206.03 5779.28 2518 238.743 905.943 920.148 726.291 907.761 3197.95 4682.19 8001.26 3995.18 1507.79 1920.72 3112.29 13334.1 847.812 1754.09 1515.72 1062.02 2899.63 3724.6 9474.2 8262.78 6401.81 10765.1 4930.24 7535.11 3560.95 881.551 1098.71 3160.12 24201.1 996.224 2424.86 1683.01 1501.52 2392.61 1899.53 9218.83 596.592 
5	939.705 988.429 1876.71 401.151 918.918 1035.19 465.048 854.988 810.12 837.911 623.402 225.737 336.529 898.326 852.113 778.755 1084.14 883.847 1944.61 717.958 1099.8 1033.63 1064.1 1002.57 763.926 925.426 868.235 817.958 956.114 833.342 688.458 799.188 890.667 972.403 839.185 971.409 976.741 1131.2 1022.43 832.882 1017.28 1095.72 884.83 858.375 1087.02 914.364 1011.89 1205.35 837.713 758.034 
6	1758.82 3048.27 6645.08 4021.59 6085.61 2017.54 5650.63 7595.82 9213.77 7280.57 2747.15 2319.81 741.156 919.393 1205.35 1016.52 751.582 4208.68 6096.08 26767.8 4026.05 2030.84 2347.95 4028.26 11516.2 1165.36 2829.59 3369.29 1368.75 2764.47 9731.85 4666.27 19592.9 7191.53 20876.3 7057.49 6691.8 5140.65 816.976 832.541 3126.97 19588 1476.35 3873.39 1967.48 2480.28 2210.29 1382.13 18961.7 655.181 
7	1559.9 4310.57 5779.91 2457.01 5441.9 2895.6 0 11213.1 4750.45 4133.78 7314.89 2982.15 155.851 947.112 835.599 641.641 834.094 4112.81 5586.78 9183.2 5335.95 2052.08 2491.68 4104.75 16206.2 882.401 2234.46 1949.07 979.445 3804.51 4695.32 12203.3 10832.6 7812.03 13469.9 6358.41 9907.05 4715.44 802.36 1845.47 4334.78 30860.3 1054.38 3081.29 2234.19 1645.79 2708.71 2154.83 11541.8 517.552 
8	929.715 1871.26 3393.44 5083.72 3237.21 2003.27 7055.88 6187 2713.98 2504.16 3515.14 1037.41 310.609 850.366 795.087 729.832 1046.35 2745.66 3778.14 8042.09 2761.12 1287.83 1310.43 2528.94 9609.91 880.852 1266.65 1231.11 898.222 1843.32 3322.5 5948.12 5957.94 5105.16 10289.5 3760.47 4808.69 2602.84 980.562 514.668 1777.15 17128.3 957.292 1786.31 1387.23 1368.58 2094.18 1859.34 7781.16 721.762 
9	613.328 972.802 1394.85 185.085 724.573 839.84 129.012 704.535 579.2 533.875 543.633 328.709 193.519 666.703 816.976 582.061 724.933 517.552 1507.02 204.758 898.222 641.952 899.608 646.94 624.999 647.465 666.703 485.25 970.411 716.228 311.701 485.25 639.722 753.519 377.067 704.535 906.693 880.669 704.855 740.12 1076.41 786.664 614.275 637.12 714.303 668.569 784.042 854.251 512.975 421.51 
10	1197.04 3291.29 5213.84 4673.01 5450.49 3343 3482.63 10365.9 3794.2 3170.47 5465.53 2153.37 81.7135 1077.8 751.582 685.201 763.21 3458.13 5477.45 6313.76 4334.65 1391.56 1554.22 3372.37 16736.1 998.36 1963.6 1474.33 897.682 2906.61 3063.98 7440 8146.43 9046.03 11594.6 5635.67 8623.38 4059.58 724.933 348.713 3314.1 29364.3 1220.83 2690.44 1916.29 1988.43 3402.74 2718.76 10361.8 441.469 
11	635.032 1246.2 1620.24 657.419 884.83 962.513 639.965 919.603 756.225 636.534 881.012 837.785 694.101 803.718 1105.76 796.87 632.266 521.309 1748.39 660.977 997.424 512.975 1042.62 596.592 880.259 729.832 840.099 573.649 1268.8 960.252 480.343 792.519 763.21 874.083 466.954 778.755 1144.92 919.62 699.272 1059.41 1393.93 965.918 722.742 799.356 596.856 786.482 882.939 733.12 595.88 551.845 
12	715.186 948.278 1785.76 2518 1558.68 1178.19 2982.15 2932.7 1220.31 1123.36 1491.57 0 144.1 674.595 666.08 556.468 861.48 1262.91 2168.23 3167.64 1356.71 816.777 851.354 1196.79 4457.13 699.748 707.753 595.289 790.372 860.936 1388.72 2409.94 2731.96 2612.85 4609.92 1790.02 2411.32 1282.21 797.067 337.297 934.925 8347.28 659.188 852.848 866.114 800.529 1205.7 1149.49 3544.7 536.995 
13	618.667 835.599 1300.79 238.743 653.213 772.606 155.851 610.885 521.805 521.309 409.517 144.1 0 613.328 681.489 505.637 756.225 551.845 1391.92 232.633 835.599 698.962 819.033 674.545 522.076 621.147 596.856 492.178 823.818 608.16 352.356 377.581 596.592 696.019 440.506 672.992 786.686 843.742 705.882 291.031 919.62 700.422 582.246 576.772 756.027 623.402 732.283 880.852 514.668 429.581 
14	556.468 1164.5 1459.66 621.219 803.718 882.834 594.31 837.911 674.545 555.255 801.75 778.14 634.04 722.742 1024.29 715.186 562.186 441.469 1588.14 447.551 918.918 442.921 962.621 521.805 798.764 649.9 758.626 492.178 1187.27 878.559 400.875 712.761 682.32 793.96 347.784 699.617 1063.26 843.742 623.402 670.939 1312.56 884.706 641.952 717.911 528.402 705.882 803.665 668.569 514.668 470.198 
15	517.552 854.988 1171.24 274.606 608.16 724.581 194.082 585.618 464.255 430.286 427.126 289.651 146.981 553.251 699.272 464.255 641.952 433.645 1279.44 104.262 784.042 571.994 782.451 561.43 505.637 540.831 550.24 388.164 854.251 596.856 225.737 366.142 528.402 639.74 307.007 596.856 787.469 772.561 608.311 284.996 962.621 668.552 505.637 522.076 636.534 556.991 671.668 769.938 414.293 323.47 
