param n:=12;

set A:=
1 11 11 1
1 3 3 1
2 3 3 2
2 8 8 2
2 11 11 2
3 10 10 3
4 5 5 4
4 7 7 4
4 12 12 4
5 9 9 5
5 11 11 5
6 9 9 6
6 11 11 6
7 11 11 7
7 12 12 7
8 10 10 8
8 12 12 8
1 6 6 1
;

param :	f	lenght	:=
1	11	36	7
1	3	24	2
2	3	15	4
2	8	33	1
2	11	35	1
3	10	23	3
4	5	21	2
4	7	21	2
4	12	33	4
5	9	25	1
5	11	20	2
6	9	33	2
6	11	40	1
7	11	32	1
7	12	32	2
8	10	15	3
8	12	19	2
1	6	24	1
11	1	36	7
3	1	24	2
3	2	15	4
8	2	33	1
11	2	35	1
10	3	23	3
5	4	21	2
7	4	21	2
12	4	33	4
9	5	25	1
11	5	20	2
9	6	33	2
11	6	40	1
11	7	32	1
12	7	32	2
10	8	15	3
12	8	19	2
6	1	24	1
;			
			
			
param u:=1000;					
param delta:=3;

param g:= 200;
param gamma:=1000;	

param n_d:=60;


param: s t d:=
1 6 11 3580
2 1 3 2770
3 5 11 1745
4 7 8 2766
5 8 9 11969
6 5 8 16437
7 3 6 27187
8 8 11 9684
9 8 10 22906
10 1 4 1642
11 1 5 832
12 1 7 630
13 3 4 31363
14 7 9 3823
15 5 6 3337
16 4 6 7694
17 9 12 40069
18 7 12 4507
19 9 10 5447
20 4 12 16062
21 7 11 1946
22 4 7 4165
23 6 9 18695
24 1 6 789
25 9 10 5169
26 2 9 8783
27 1 10 233
28 4 10 5128
29 7 12 10130
30 2 12 37150
31 7 8 2783
32 5 7 2893
33 8 9 34167
34 3 9 122327
35 5 11 7754
36 4 7 3962
37 6 7 4841
38 1 12 5538
39 3 11 5082
40 3 9 23882
41 9 11 12889
42 7 10 1213
43 7 9 6894
44 4 11 7469
45 3 10 6961
46 1 10 646
47 3 11 24371
48 6 12 13342
49 8 12 44119
50 1 8 1337
51 6 8 11906
52 4 6 10771
53 6 12 10055
54 5 10 2883
55 2 5 56067
56 2 9 17991
57 4 5 1454
58 1 3 3128
59 2 8 69016
60 5 8 161581
;
	
